judul,label
IMPLEMENTASI K-MEANS CLUSTERING PADA TERJEMAHAN AL-QUR’AN BERDASARKAN KETERKAITAN TOPIK,AI
PERBANDINGAN METODE FAKTOR KEPASTIAN (CERTAINTY FACTOR ) DENGAN FAKTOR KEPASTIAN PENGGUNA (CERTAINTY FACTOR PARALEL) DALAM SISTEM PAKAR DIAGNOSIS GANGGUAN KEHAMILAN,AI
PENGENALAN POLA OBJEK SAYURAN PADA CITRA DIGITAL DENGAN METODE HOPFIELD NEURAL NETWORK,AI
APLIKASI PENGENALAN EKSPRESI POSE JARI TANGAN MENGGUNAKAN METODE LEARNING VECTOR QUANTIZATION (LVQ) BERBASIS ANDROID,AI
ANALISIS KLASTER PERSEBARAN ANAK DISABILITAS DI INDONESIA DENGAN SELF ORGANIZING MAPS,AI
"ANALISIS KEDUDUKAN I’RAB KALIMAT BAHASA ARAB PADA
KITAB AL – IMRITHI MENGGUNAKAN ALGORITMA BREADTH
FIRST SEARCH (BFS)",AI
PENERAPAN ANALISIS SENTIMEN PADA PENGGUNA TWITTER MENGGUNAKAN METODE K-NEAREST NEIGHBOR,AI
"PENGARUH PELATIHAN SEARCH ENGINE OPTIMIZATION
TERHADAP PENJUALAN PRODUK DENGAN PENERAPAN SEARCH
ENGINE OPTIMIZATION SEBAGAI VARIABEL INTERVENING",AI
SISTEM PAKAR DIAGNOSA DAN ANALISIS FARMAKOLOGI PENYAKIT HEWAN MENULAR ZOONOSIS MENGGUNAKAN METODE CERTAINTY FACTOR,AI
IMPLEMENTASI DATA MINING MENGGUNAKAN ALGORITMA K-MEANS CLUSTERINNG UNTUK MENGETAHUI POLA PEMILIHAN PROGRAM STUDI MAHASISWA BARU IAIN SALATIGA,AI
PENERAPAN FUZZY INFERENCE SYSTEM UNTUK PREDIKSI HASIL PRODUKSI GULA PASIR DENGAN METODE MAMDANI,AI
ALGORITMA PENENTUAN KELAS KATA PADA KATA-KATA YANG MEMILIKI SIFAT AMBIGU DALAM PART-OF-SPEECH TAGGING BAHASA INDONESIA DENGAN METODE RULE BASED,AI
PENERAPAN FUZZY INFERENCE SYSTEM UNTUK MEMPREDIKSI KUALITAS AIR SUNGAI DENGAN METODE MAMDANI,AI
CLUSTERING DATA BAKTERI ACETOBACTERACEAE BERDASARKAN CIRI-CIRI DAN SPESIES MENGGUNAKAN FUZZY C-MEANS,AI
SISTEM PAKAR DIAGNOSA PENYAKIT TANAMAN BAWANG MERAH MENGGUNAKAN METODE CERTAINTY FACTOR,AI
CLUSTERING CITRA TANAH MENGGUNAKAN ALGORITMA FUZZY C-MEANS UNTUK MENILAI KESESUAIAN LAHAN PADA TANAMAN CENGKEH,AI
STUDI PERBANDINGAN ALGORITMA THINNING ZHANG-SUEN DAN ALGORITMA THINNING STENTIFORD PADA PENGENALAN POLA CITRA KARAKTER TULISAN TANGAN,AI
APLIKASI JARINGAN SYARAF TIRUAN MENGGUNAKAN METODE LEARNING VECTOR QUANTIZATION DALAM PENGENALAN POLA HURUF PEGON JAWA,AI
SISTEM PAKAR BERBASIS WEB UNTUK MENDIAGNOSA PENYAKIT ANJING MENGGUNAKAN FORWARD CHAINING,AI
PENGENALAN KARAKTER TULISAN TANGAN HURUF JAWA MENGGUNAKAN METODE JARINGAN SARAF TIRUAN BACKPROPAGATION,AI
ANALISIS SENTIMEN KOMENTAR PADA SISTEM PENILAIAN KINERJA INSTRUKTUR TRAINING ICT (INFORMATION AND COMMUNICATION TECHNOLOGY) UIN SUNAN KALIJAGA MENGGUNAKAN NAÏVE BAYES CLASSIFIER,AI
APLIKASI BASIS DATA FUZZYMODEL TAHANI BERBASIS WEB UNTUK PEMILIHAN TEMPAT MAKAN DI D.I. YOGYAKARTA,AI
IDENTIFIKASI CITRA KAYU JATI DAN KAYU AKASIA MENGGUNAKAN GLCM DAN ALGORITMA PERCEPTRON,AI
HUBUNGAN RELEVANSI HASHTAG TERHADAP JUMLAH LIKE PADA FOTO INSTAGRAM,AI
PENERAPAN METODE DATA MINING UNTUK MENENTUKAN PENGELOMPOKAN UANG KULIAH TUNGGAL (UKT) UIN SUNAN KALIJAGA MENGGUNAKAN ALGORITMA K-MEANS CLUSTERING,AI
IMPLEMENTASI AUGMENTED REALITY DALAM PENGENALAN BUAH DAN BINATANG PADA ANAK USIA DINI,AI
ANALISIS KEBUTUHAN ACCESS POINT BERDASARKAN HISTORI TIAP LOKASI DI UNIVERISTAS ISLAM NEGERI SUNAN KALIJAGA MENGGUNAKAN METODE CLUSTERING ALGORITMA K-MEANS,AI
OPTIMASI PEMBAGIAN KELOMPOK KKN UIN SUNAN KALIJAGA YOGYAKARTA MENGGUNAKAN ALGORITMA GENETIKA,AI
ANALISIS DAN PERANCANGAN SISTEM PENGOLAHAN CITRA DIGITAL UNTUK MENENTUKAN BERAT BADAN IDEAL MANUSIA MENGGUNAKAN METODE DETEKSI TEPI,AI
SISTEM PENDUKUNG KEPUTUSAN KLINIS UNTUK MENDIAGNOSA PENYAKIT DIABETES MELITUS DENGAN MENGGUNAKAN METODE CERTAINTY FACTOR,AI
PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN OBYEK WISATA PANTAI DI GUNUNGKIDUL MENGGUNAKAN METODE FUZZY AHP,AI
APLIKASI FUZZY INFERENCE SYSTEM METODE MAMDANI UNTUK PEMILIHAN JURUSAN DI PERGURUAN TINGGI,AI
"PENGENALAN JARI TANGAN MANUSIA PADA SISTEM KAMERA
PROYEKTOR SEBAGAI MOUSE POINTER
",AI
"PENCARIAN TEMPAT KOS DENGAN TEKNOLOGI
AUGMENTED REALITY BERBASIS SMARTPHONE
ANDROID
",AI
"SISTEM PAKAR BERBASIS WEB UNTUK MENDIAGNOSA 
PENYAKIT EPILEPSI DAN PENANGANANNYA 
MENGGUNAKAN THEOREMA BAYES 
",AI
"SISTEM PAKAR BERBASIS WEB UNTUK
DIAGNOSA DAN PENANGANAN PENYAKIT PADA
BINATANG KUCING MENGGUNAKAN
PROBABILITAS DAN TEOREMA BAYES
",AI
"PERBANDINGAN METODE DETEKSI TEPI
DALAM KASUS PENGENALAN POLA GOLONGAN DARAH
MENGGUNAKAN ALGORITMA RUNUT BALIK
( BACK PROPAGATION )
",AI
"CLUSTERING DATA PASIEN MENGGUNAKAN
FUZZY C-MEANS DAN 
AGGLOMERATIVE HIERARCHICAL CLUSTERING",AI
"APLIKASI JARINGAN SYARAF TIRUAN DENGAN MENGGUNAKAN
METODE BACKPROPAGATION DALAM KASUS PENGENALAN POLA 

 
HURUF HIJAIYAH
",AI
"PROTOTIPE SISTEM PARKIR OTOMATIS BERBASIS
MIKROKONTROLER ATMEGA-16 
",AI
"IMPLEMENTASI CLUSTER PADA WEB SERVER 
BERBASIS CLOUD COMPUTING",AI
"
PENGOLAHAN CITRA MIKROSKOPIS 
UNTUK MENGHITUNG SEL KURKUMIN 
PADA CITRA NANOPARTIKEL 
",AI
"IMPLEMENTASI SISTEM PAKAR DI BIDANG KEDOKTERAN UNTUK MENDIAGNOSA 
KANKER KANDUNGAN MENGGUNAKAN METODE 
CERTAINTY FACTOR
",AI
"SEGMENTASI CITRA MEDIS 
MENGGUNAKAN METODE OTSU DAN ITERASI 
",AI
"PENGEMBANGAN APLIKASI MOBILE-LEARNING
PADA SMARTPHONE BERBASIS ANDROID 
",AI
SISTEM PAKAR IDENTIFIKASI KERACUNAN AKIBAT BAHAN KIMIA MENGGUNAKAN FAKTOR KEPASTIAN (CERTAINTY FACTOR) BERBASIS WEB (STUDY KASUS DI CV. TEDJO OBOR KIMIA),AI
"PENGENALAN WAJAH MENGGUNAKAN JST 
BERDASARKAN EKSTRAKSI CIRI PCA DAN LDA
",AI
"STUDI KOMPARASI KINERJA JARINGAN SARAF TIRUAN
DAN FUZZY UNTUK PENGENALAN JENIS BUNGA
BERDASARKAN FITUR WARNA
",AI
NAJIB ABDILLAH - NIM. 10651039 IMPLEMENTASI ALGORITMA BREADTH,AI
"PENGEMBANGAN APLIKASI REKOMENDASI PANDUAN
WISATA DI DIY MENGGUNAKAN
ALGORITMA K-NEAREST NEIGHBOR (K-NN)",AI
" PERBAIKAN KUALITAS CITRA HASIL INVERSI DENGAN MENGGUNAKAN ALGORITMA UNSHARP MASKING FILTER (UMF) PADA KOLEKSI MIKROFILM NEGATIF MUSEUM SONOBUDOYO YOGYAKARTA 
",AI
"STUDI KOMPARASI PERAMALAN 
HARGA PENUTUPAN JAKARTA ISLAMIC INDEX (JII) 
DENGAN METODE GENERALIZED REGRESSION NEURAL NETWORK DAN FEED FORWARD NEURAL NETWORK",AI
"PERBANDINGAN METODE JARINGAN SYARAF TIRUAN
BACKPROPAGATION DAN ALGORITMA PENCOCOKAN DALAM
MENGIDENTIFIKASI KEMATANGAN TOMAT BUAH
BERDASARKAN CIRI WARNA RGB

",AI
"PENGOLAHAN CITRA DIGITAL UNTUK PERKIRAAN USIA
POHON JATI (Tectona grandis Linn.f)

",AI
"PENGENALAN POLA HURUF JEPANG
MENGGUNAKAN TESSERACT ENGINE

",AI
"ANALISA HASIL PERBANDINGAN PERINGKASAN TEKS OTOMATIS
UNTUK BERITA ONLINE MENGGUNAKAN METODE
TERM FREQUENCY– INVERSE DOCUMENT FREQUENCY
DENGAN CORPUS DAN NON CORPUS
(STUDI KASUS BBC MAGAZINE ONLINE)

",AI
"PENERAPAN DATA MINING UNTUK ANALISIS POLA PEMBELIAN
KONSUMEN DENGAN ALGORITMA APRIORI PADA DATA
TRANSAKSI PENJUALAN
( STUDI KASUS : PAMELLA SUPERMARKET )

",AI
ANALISIS KINERJA ALGORITMA FUZZY C-MEANS DAN K-MEANS PADA DATA KEMISKINAN,AI
"INTERACTIVE STORYTELLING VISUAL NOVEL
PARIWISATA YOGYAKARTA UNTUK TURIS ASING
DENGAN METODE FINITE STATE MACHINE
",AI
"ANALISA PERBANDINGAN METODE KINECT GRAYSCALE DAN
KINECT DEPTH IMAGE UNTUK DIAPLIKASIKAN DALAM USER
INTERFACE
",AI
SISTEM INFORMASI MANAJEMEN PESANTREN AL LUQMANIYYAH YOGYAKARTA,AI
"IMPLEMENTASI ONLINE EXAM CONTROL
PROCEDURES (OECPs)
DI UIN SUNAN KALIJAGA YOGYAKARTA
",AI
"SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN KEYWORD UNTUK
PEMASANGAN IKLAN PADA GOOGLE ADWORDS MENGGUNAKAN
METODE ANALYTICAL HIERARCHY PROCESS
",AI
 INTELLIGENT TUTORING SYSTEM MENGGUNAKAN METODE BAYESIAN NETWORK PADA PELAJARAN NAHWU-SHOROF BERBASIS DEKSTOP ,AI
"ANALISIS ASOSIASI DATA DENGAN ALGORITMA APRIORI UNTUK
SISTEM PENDUKUNG KEPUTUSAN PENJUALAN BARANG BERBASIS
WEB
",AI
"SISTEM PENENTUAN TINGKAT RESIKO PENYAKIT JANTUNG
KORONER DAN KARDIOVASKULER MENGGUNAKAN METODE
FRAMINGHAM SCORE
",AI
"DETEKSI TEPI CITRA KHAT ARAB MENGGUNAKAN
OPERATOR SOBEL DAN CANNY",AI
"PENGENALAN POLA HANDWRITINGCITRA ANGKA ARAB
MENGGUNAKAN JST BACKPROPAGATION",AI
"PENGENALAN POLA CITRA IRIS MATA
MENGGUNAKAN JARINGAN SYARAF TIRUAN BACKPROPAGATION
UNTUK MENDETEKSI PENYAKIT KULIT PADA MANUSIA",AI
"APLIKASI FUZZY INFERENCE SYSTEM DENGAN METODE MAMDANI
UNTUK PEMILIHAN JURUSAN DI MAN LAB UIN YOGYAKARTA",AI
"APLIKASI FUZZY INFERENCE SYSTEM DENGAN METODE MAMDANI
UNTUK PEMILIHAN JURUSAN DI MAN LAB UIN YOGYAKARTA",AI
"PENERAPAN DATA MINING UNTUK MEMPREDIKSI KLASIFIKASI
JUMLAH PEMBACA SEBUAH ARTIKEL PADA SITUS BERANDA.CO.ID
MENGGUNAKAN ALGORITMA BAYESIAN CLASSIFICATION",AI
"PERANCANGAN SISTEM PENGOLAHAN CITRA DIGITAL UNTUK
MENENTUKAN BOBOT SAPI MENGGUNAKAN METODE CANNY EDGE
DETECTION",AI
PENGOLAHAN CITRA SAYATAN TIPIS MENGGUNAKAN ALGORITMA MULTILEVEL OTSU’S THRESHOLDING PADA BATUAN BEKU,AI
ANALISIS METODE PREPROCESSING PADA CITRA MAMMOGRAM,AI
"ANALISIS RENTET WAKTU PADA DATA PENDONOR DAN
KEBUTUHAN DARAH MENGGUNAKAN ALGORITMA LINEAR
REGRESSION DAN LEAST SQUARE",AI
"IMPLEMENTASI BASIS DATA TERDISTRIBUSI UNTUK
MENINGKATKAN KONSISTENSI DATA KEPENDUDUKAN",AI
"IMPLEMENTASI METODE HETEROGENOUS DISTRIBUTED
DATABASE SYSTEM MENGGUNAKAN ORACLE XE 10G DAN MYSQL
PADA DATA REKAM MEDIS SISTEM INFORMASI POLI KLINIK
UIN SUNAN KALIJAGA",AI
"PENERAPAN DATA MINING UNTUK ANALISIS PENGARUH LAMA
STUDI MAHASISWA TEKNIK INFORMATIKA UIN SUNAN KALIJAGA
YOGYAKARTA MENGGUNAKAN METODE APRIORI",AI
PERBANDINGAN KINERJA JARINGAN SYARAF TIRUAN DAN FUZZY INFERENCE SYSTEM UNTUK PREDIKSI PRESTASI PESERTA DIDIK,AI
"KLASIFIKASI CITRA DAGING SAPI DAN DAGING BABI
BERDASARKAN CIRI WARNA DAN TEKSTUR",AI
SISTEM PAKAR REKOMENDASI PROFESI BERDASARKAN MULTIPLE INTELLIGENCES MENGGUNAKAN TEOREMA BAYESIAN,AI
JARINGAN SYARAF TIRUAN ALGORITMA BACKPROPAGATION UNTUK PERAMALAN HARGA INDEX SAHAM SYARIAH PADA BURSA EFEK INDONESIA,AI
JARINGAN SYARAF TIRUAN BACKPROPAGATION UNTUK MEMPREDIKSI LAYANAN PERAWATAN DI MAIRA SALON DAN SPA,AI
"PENGEMBANGAN APLIKASI KUNCI DETERMINASI TUMBUHAN
BERBASIS ANDROID DENGAN METODE FORWARD CHAINING",AI
"PENERAPAN LOGIKA FUZZY MAMDANI
UNTUK PREDIKSI HASIL PRODUKSI TELUR AYAM",AI
"PENERAPAN FUZZY INFERENCE SYSTEM
PEMBERIAN DANA PINJAMAN MENGGUNAKAN
METODE MAMDANI",AI
SISTEM REKOMENDASI PEMINATAN KONSENTRASI PADA JURUSAN TEKNIK INFORMATIKA MENGGUNAKAN ALGORITMA BACKPROPAGATION,AI
SISTEM PAKAR DIAGNOSA PENYAKIT DEGENERATIF PADA LANJUT USIA MENGGUNAKAN METODE CERTAINTY FACTOR BERBASIS WEB,AI
"ANALISIS PENERAPAN METODE FUZZY MULTI ATTRIBUTE DECISION
MAKING PADA SELEKSI PEGAWAI TELADAN DI PT. ASELI DAGADU
DJOKDJA",AI
PENERAPAN DATA MINING UNTUK MENENTUKAN STRATEGI PROMOSI UNIVERSITAS PGRI YOGYAKARTA MENGGUNAKAN ALGORITMA K-MEANS CLUSTERING,AI
"PENERAPAN LOGIKA FUZZY MAMDANI
UNTUK PREDIKSI HASIL PRODUKSI IKAN AIR TAWAR",AI
"IMPLEMENTASI FUZZY MAMDANI UNTUK ANALISIS
USABILITAS TERHADAP SISTEM INFORMASI AKADEMIK
UIN SUNAN KALIJAGA YOGYAKARTA",AI
"PENERAPAN DATA MINING UNTUK MENGETAHUI POLA
PEMILIHAN PROGRAM STUDI MAHASISWA BARU UIN SUNAN
KALIJAGA MENGGUNAKAN ALGORITMA K-MEANS CLUSTERING",AI
"PENERAPAN LOGIKA FUZZY MAMDANI
UNTUK PREDIKSI JUMLAH PRODUKSI TAHU",AI
REKAYASA ALGORITMA CAESAR CIPHER DALAM BENTUK RGB MENGGUNAKAN ASCII,Jaringan
IMPLEMENTASI ALGORITMA HUFFMAN DALAM KOMPRESI DATA PADA DATABASE,Jaringan
ANALISIS PENGGUNAAN MEMORI INTERNAL PADA PERANGKAT LUNAK VIDEO EDITING,Jaringan
"PENGEMBANGAN MESIN ANTRIAN BERBASIS WEB
MENGGUNAKAN RASPBERRY dan ESP8266",Jaringan
ANALISIS QUALITY OF SERVICE (QOS) LAYANAN VIDEO STREAMING YOUTUBE PADA JARINGAN WIRELESS DI LINGKUNGAN FAKULTAS SAINS DAN TEKNOLOGI UIN SUNAN KALIJAGA,Jaringan
"ANALISIS PERBANDINGAN QUALITY OF SERVICE (QOS) TERHADAP KEKUATAN JARINGAN BERBASIS 4G (OPERATOR TELKOMSEL, XL DAN INDOSAT) DI DAERAH SEKITAR KAMPUS UIN SUNAN KALIJAGA YOGYAKARTA",Jaringan
ANALISIS FORENSIK DIGITAL PADA SMARTPHONE ANDROID UNTUK PENANGANAN KASUS CYBERCRIME,Jaringan
ANALISIS KINERJA WIRELESS LAN MENGGUNAKAN METODE QUALITY OF SERVICE PADA KANTOR DINAS KOMUNIKASI DAN INFORMASI KABUPATEN BANTUL,Jaringan
KRIPTANALISIS ALGORITMA VIGENERE CHIPER DENGAN ALGORITMA GENETIKA UNTUK PENENTUAN KATA KUNCI,Jaringan
ANALISIS PERBANDINGAN PERFORMA VGA 64BIT DAN 128BIT MENGGUNAKAN UJI T TEST,Jaringan
MEMBANGUN WEBSITE WALLPAPER MENGGUNAKAN API BING IMAGES,Jaringan
ANALISIS QOS DENGAN PENGUJIAN SERANGAN DDOS PADA SISTEM INFORMASI AKADEMIK UIN SUNAN KALIJAGA,Jaringan
ANALISIS PERBANDINGAN KECEPATAN BROADCAST VIDEO STREAMING PADA JARINGAN WIRELESS DAN 4G LTE DENGAN PARAMETER BANDWIDTH,Jaringan
PENGEMBANGAN PERANGKAT GATEWAY UNTUK SENSOR IOT MENGGUNAKAN BOARD RASPBERRY PI BERBASIS PROTOKOL MQTT,Jaringan
ANALISIS KUALITAS LAYANAN JARINGAN PADA LALU LINTAS DATA INTERNET APLIKASI WEB SOCIAL NETWORK FACEBOOK DAN INSTAGRAM,Jaringan
PENGEMBANGAN ALAT PEMANAS BIBIT AYAM BERBASIS INTERNET OF THINGS MENGGUNAKAN MIKROKONTROLER NODEMCU ESP8266,Jaringan
ANALISIS PENEMPATAN WIRELESS ACCESS POINT TERHADAP CAKUPAN SINYAL WI-FI DENGAN METODE PROBABILITAS BAYESIAN,Jaringan
PERBANDINGAN SISTEM VIRTUALISASI VMWARE DAN PROXMOX STUDY KASUS PADA SISTEM OPERASI DEBIAN DAN UBUNTU,Jaringan
IMPLEMENTASI ALGORITMA HILL CIPHER DENGAN MODIFIKASI PROSES MENGGUNAKAN ALGORITMA CAESAR CIPHER PADA FILE DOKUMEN PLAINTEXT,Jaringan
SISTEM KAMERA PENGAWAS GERAK OTOMATIS MENGGUNAKAN BANANA PI DAN TELEGRAM BOT,Jaringan
"ANALISIS KEAMANAN WLAN TERHADAP GANGGUAN ARP SPOOFING
(STUDI KASUS KANTOR DINAS KEBUDAYAAN DAN PARIWISATA
KABUPATEN BOYOLALI)",Jaringan
"INVESTIGASI FORENSIK PERBANDINGAN KECEPATAN SISTEM
OPERASI PROPRIETARY DAN OPEN SOURCE DALAM MENANGKAP
SERANGAN DISTRIBUTED DENIAL OF SERVICE (DDOS)",Jaringan
"ANALISIS ANTENA SEMI PARABOLIK GRID 2,4 GHz UNTUK JARINGAN WIRELESS LAN",Jaringan
PENENTUAN JARAK TERPENDEK DAN WAKTU TEMPUH MENGGUNAKAN ALGORITMA DIJKSTRA DENGAN PEMROGRAMAN BERBASIS OBJEK,Jaringan
"Aplikasi Steganografi Berbasis Short Message Service (SMS)
pada Android
",Jaringan
"ANALISIS KINERJA METODE BACKGROUND SUBTRACTION DAN
HAAR-LIKE FEATURE UNTUK MONITORING PEJALAN KAKI
MENGGUNAKAN KAMERA WEBCAM
",Jaringan
"PROTOTIPE SISTEM KONTROL JARAK JAUH RADIO WLAN
DENGAN MEMANFAATKAN JARINGAN SELULER
BERBASIS MIKROKONTROLER AVR-ATMEGA16
",Jaringan
"IMPLEMENTASI ALGORITMA DIJKSTRA PENCARIAN
RUTE TERPENDEK TRANS JOGJA
",Jaringan
PROTOTIPE ROBOT LINE FOLLOWER UNTUK TUNANETRA BERBASIS MIKROKONTROLLER AVR-ATMEGA328 DENGAN BOARD MODUL ARDUINO UNO R2 ,Jaringan
"APLIKASI ENKRIPSI SMS PADA SMARTPHONE ANDROID MENGGUNAKAN METODE VIGENERE CIPHER 
DENGAN MODIFIKASI PERSAMAAN FIBONACCI",Jaringan
KORELASI MODEL PEMBELAJARAN MENGGUNAKAN INDOBLOCKLY TERHADAP PEMAHAMAN MAHASISWA PADA MATA KULIAH PEMROGRAMAN TERSTRUKTUR ,Jaringan
"OPTIMALISASI JARINGAN WIRELESS DENGAN QoS BERBASIS
ALGORITMA HIERARCHICAL TOKEN BUCKET 
(
 HTB )",Jaringan
"PROTOTIPE SISTEM PENGUKURAN KETINGGIAN DAN DEBIT AIR 
PADA SUNGAI BERBASIS MIKROKONTROLER ATMEGA16 
",Jaringan
